hcf | complementares
5858 | & M.G. Caxambu
5860 | & D.C. Souza
5861 | & D.C. Souza
5862 | & D.C. Souza
5863 | & D.C. Souza
5864 | & D.C. Souza
5865 | & D.C. Souza
5866 | & D.C. Souza
5867 | & D.C. Souza
5888 | & A.R. Silva
5900 | & M.G. Caxambu
5901 | & A.R. Silva
5902 | & A.R. Silva
5903 | & A.R. Silva
5904 | & A.R. Silva
5905 | & A.R. Silva
5906 | & M.G. Caxambu
5907 | & A.R. Silva
5908 | & M.G. Caxambu
5909 | & M.G. Caxambu
5910 | & A.R. Silva
5911 | & A.R. Silva
5912 | & A.R. Silva
5913 | & A.R. Silva
5914 | & A.R. Silva
5915 | & A.R. Silva
5916 | & M.G. caxambu
5917 | & M.G. caxambu
5918 | & A.R. Silva
5919 | & M.G. caxambu
5920 | & A.R. Silva
5921 | & M.G. Caxambu
5922 | & A.R. Silva
5923 | & A.R. Silva
5924 | & A.R. Silva
5925 | & M.G. Caxambu
5926 | & M.G. caxambu
5927 | & A.R. Silva
5955 | & A.R. Silva
5956 | & A.R. Silva
5957 | & C.B. Costa
5958 | et al.
5959 | ; E. Lucas & F.F. Mazine
5960 | et al.
5962 | & A.R. Campos
5963 | et al.
5964 | et al.
5966 | et al.
5967 | et al.
5968 | & J.M. Silva
5969 | et al.
5970 | et al.
5971 | et al.
5972 | & J.M. Silva
5973 | ; P. Labiak & M.P. Petean
5974 | et al.
5975 | ; P. Labiak & M.P. Petean
5976 | & A.R. Campos
5977 | ; J.M. Silva & G.F. Simon
5978 | et al.
5979 | ; P. Labiak & M.P. Petean
5980 | ; P. Labiak & M.P. Petean
5982 | et alli
5983 | & A.R. Campos
5984 | & L.M. Abe
5985 | et al.
5986 | et al.
5987 | & G. Hatschbach
5988 | & G. hatschbach
5990 | et al.
5991 | & E.F. Costa
5992 | , J.M. Silva & G.F. Simon
5993 | , M. Hatschbach, O.S. Ribas & J.Carneiro
5994 | & J.M. Silva
5995 | & J.M. Silva
