NUM_IDENTIFICADOR | NOME
965 | J.G. Rando
966 | A.C. Zanin
967 | B.V. Dal Prá
968 | L.P. Queiroz
969 | A. Vieira
970 | S.A. Mentz
971 | A.P. Spina
972 | A.C. Ednim
1041 | D. Gonzaga
973 | A.P.A. Correa
974 | M. Ubanim
975 | A.S. Flores
976 | A.J.M. Leeuwenberg
977 | A.L. Côrtes
978 | F.C.P. Garcia
979 | N.G. Bordon
980 | C.L. Chaves
981 | E.F.S. Rossetto & A.O.S. Vieira
982 | I.R.N. Menezes
983 | B.D. Silva
984 | R.S. Andrade
985 | T. Carregosa-Silva
986 | L.P. Rocha
987 | G.S. Freire
988 | J.P. Santana
989 | A.C.C. Silva
990 | M.H. Santos
991 | D.G. Oliveira
992 | J.E. Nascimento Júnior
993 | G.M.A. Matos
994 | A.P. Prata
995 | S.M. Costa
996 | J.P.S. Santos
997 | D.S. Melo
998 | M. Ibrahim & A. Stadnik
999 | J.A.M. Melo & L.C. Ferneda Rocha
1000 | A. Giaretta
1001 | L. Marinho & M.E. Engels
1002 | A.S. Bezerra
1003 | M.E. Engels & D.C. Dias
1004 | D.C. Dias
1005 | J.P. Battisti
1006 | L. Sardelli
1007 | L.C. Ferneda Rocha & D.C. Dias
1008 | J.A.M. Melo et al.
1009 | L.M. Hase & M.E. Engels
1010 | A.Z. Bronholi
1011 | L.C. Marinho & M.E. Engels
1012 | A.B. Silva
1013 | M. Lautert & S.A. Antoniazzi
1014 | M.E. Engels & L. Marinho
1015 | Q.S. Moraes
1016 | J.B. Baitello
1017 | M.I.B. Loiola
1018 | J.L. Costa Lima
1019 | M. Molz
1020 | C.L. Ribeiro
1021 | S.A. Antoniazzi & J.P. Battisti
1022 | L.C. Ferneda Rocha & J.A.M. Melo
1023 | A.E. Ramos
1024 | L.C. Ferneda Rocha & S.A. Antoniazzi
1025 | F.A. Lichtenfelz
1026 | A. Oliveira
1027 | J. Faria
1028 | R. Cielo-Filho
1029 | L. Lima
1030 | P. Schwirkowski
1031 | L.F.P. Lima & G.A. Dettke
1032 | E. Rocha
1033 | G.A.D.C. Franco
1034 | J.M. Jesus
1035 | R. Gabrielle
1036 | M.S. Vignoli
1037 | Jon Ricketson
1038 | A.A.C. Sousa
1039 | C.H. Fraga
