NUM_TOMBO | SEQUENCIA | FOTO | DESCRICAO | COD_BARRA | NUM_BARRA
17937.0 | 1 | None | None | HCF000000362 | 362.0
17950.0 | 1 | None | None | HCF000000363 | 363.0
17939.0 | 1 | None | None | HCF000000364 | 364.0
17948.0 | 1 | None | None | HCF000000365 | 365.0
17944.0 | 1 | None | None | HCF000000366 | 366.0
17941.0 | 1 | None | None | HCF000000367 | 367.0
17958.0 | 1 | None | None | HCF000000368 | 368.0
17959.0 | 1 | None | None | HCF000000369 | 369.0
17940.0 | 1 | None | None | HCF000000370 | 370.0
17961.0 | 1 | None | None | HCF000000371 | 371.0
17945.0 | 1 | None | None | HCF000000372 | 372.0
17960.0 | 1 | None | None | HCF000000373 | 373.0
17957.0 | 1 | None | None | HCF000000374 | 374.0
17818.0 | 1 | None | None | HCF000000375 | 375.0
17943.0 | 1 | None | None | HCF000000376 | 376.0
17953.0 | 1 | None | None | HCF000000377 | 377.0
17938.0 | 1 | None | None | HCF000000378 | 378.0
17952.0 | 1 | None | None | HCF000000379 | 379.0
17796.0 | 1 | None | None | HCF000000380 | 380.0
17949.0 | 1 | None | None | HCF000000381 | 381.0
17947.0 | 1 | None | None | HCF000000382 | 382.0
10846.0 | 1 | None | None | HCF000000383 | 383.0
10576.0 | 1 | None | None | HCF000000384 | 384.0
14431.0 | 1 | None | None | HCF000000385 | 385.0
14668.0 | 1 | None | None | HCF000000386 | 386.0
13475.0 | 1 | None | None | HCF000000387 | 387.0
1987.0 | 1 | None | None | HCF000000388 | 388.0
3701.0 | 1 | None | None | HCF000000389 | 389.0
10932.0 | 1 | None | None | HCF000000435 | 435.0
9623.0 | 1 | None | None | HCF000000390 | 390.0
10490.0 | 1 | None | None | HCF000000391 | 391.0
15588.0 | 1 | None | None | HCF000000392 | 392.0
15990.0 | 1 | None | None | HCF000000393 | 393.0
16056.0 | 1 | None | None | HCF000000394 | 394.0
18305.0 | 1 | None | None | HCF000000395 | 395.0
18947.0 | 1 | None | None | HCF000000396 | 396.0
2314.0 | 1 | None | None | HCF000000397 | 397.0
2889.0 | 1 | None | None | HCF000000398 | 398.0
5933.0 | 1 | None | None | HCF000000399 | 399.0
7271.0 | 1 | None | None | HCF000000400 | 400.0
8892.0 | 1 | None | None | HCF000000401 | 401.0
13926.0 | 1 | None | None | HCF000000402 | 402.0
14788.0 | 1 | None | None | HCF000000403 | 403.0
16522.0 | 1 | None | None | HCF000000404 | 404.0
17861.0 | 1 | None | None | HCF000000405 | 405.0
