codigo,cidade_fb,estado_fb,uf_resolvida,cidade_slug
549,Campo Mourão,PR,PR,campo mourao
550,Santo Inácio,SP,SP,santo inacio
551,Campo Mourão,PR,PR,campo mourao
552,Cianorte,PR,PR,cianorte
553,Cianorte,PR,PR,cianorte
554,Cianorte,PR,PR,cianorte
555,Colinas do Sul,GO,GO,colinas do sul
556,Boa Esperança,MG,MG,boa esperanca
557,Cavalcante,GO,GO,cavalcante
558,Vila Propício,GO,GO,vila propicio
559,Grão Mogol,MG,MG,grao mogol
560,Araruna,PR,PR,araruna
561,Corumbá,MS,MS,corumba
562,Corumbá,MS,MS,corumba
563,Corumbá,MS,MS,corumba
564,Corumbá,MS,MS,corumba
565,Corumbá,MS,MS,corumba
566,Pirenópolis,GO,GO,pirenopolis
567,Goioerê,PR,PR,goioere
568,Cerro Azul,PR,PR,cerro azul
569,Araruna,PR,PR,araruna
570,Quatro Barras,PR,PR,quatro barras
571,Cerro Azul,PR,PR,cerro azul
572,Arapoti,PR,PR,arapoti
573,Santo Antônio do Sudoeste,PR,PR,santo antonio do sudoeste
574,Rio Branco do Sul,PR,PR,rio branco do sul
575,Araquari,SC,SC,araquari
576,Janiópolis,PR,PR,janiopolis
577,Formoso,MG,MG,formoso
578,Miranda,MS,MS,miranda
579,Miranda,MS,MS,miranda
580,Miranda,MS,MS,miranda
581,Miranda,MS,MS,miranda
582,Campo Mourão,PR,PR,campo mourao
586,Bela Vista,MS,MS,bela vista
584,Colinas do Sul,GO,GO,colinas do sul
587,Cavalcante,GO,GO,cavalcante
588,Alto Paraíso de Goiás,GO,GO,alto paraiso de goias
589,Juranda,PR,PR,juranda
585,São José dos Pinhais,PR,PR,sao jose dos pinhais
590,Engenheiro Beltrão,PR,PR,engenheiro beltrao
591,Bataguaçu,MS,MS,bataguacu
592,Cuiabá,MT,MT,cuiaba
593,Várzea Grande,MT,MT,varzea grande
594,Cuiabá,MT,MT,cuiaba
595,Cuiabá,MT,MT,cuiaba
596,Poconé,MT,MT,pocone
597,Brasilândia,MS,MS,brasilandia
598,Novo Eldorado,MT,MT,novo eldorado
599,Anaurilândia,MS,MS,anaurilandia
600,São Félix do Araguaia,MT,MT,sao felix do araguaia
601,SESC Pantanal,MT,MT,sesc pantanal
602,Barão de Melgaço,MT,MT,barao de melgaco
607,Poconé,MT,MT,pocone
603,Barão de Melgaço,MT,MT,barao de melgaco
604,Barão de Melgaço,MT,MT,barao de melgaco
605,Vila Bela da Santíssima Trindade,MT,MT,vila bela da santissima trindade
606,Acorizal,MT,MT,acorizal
608,Rosário Oeste,MT,MT,rosario oeste
609,Rosário Oeste,MT,MT,rosario oeste
610,Barão de Melgaço,MT,MT,barao de melgaco
611,Bataguaçu,MS,MS,bataguacu
612,Nova Brasilândia,MT,MT,nova brasilandia
613,Campo Verde,MT,MT,campo verde
614,Barão de Melgaço,MT,MT,barao de melgaco
615,estrada da Cascata-Água Boa.,MT,MT,estrada da cascata agua boa
616,Barão de Melgaço,MT,MT,barao de melgaco
617,Chapada dos Guimarães,MT,MT,chapada dos guimaraes
618,Nobres,MT,MT,nobres
619,Bataguaçu,MS,MS,bataguacu
620,Apiácas,MT,MT,apiacas
621,Chapada dos Guimarães,MT,MT,chapada dos guimaraes
622,Campo Mourão,PR,PR,campo mourao
623,Janiópolis,PR,PR,janiopolis
624,Goioerê,PR,PR,goioere
625,Lapa,PR,PR,lapa
626,Janiópolis,PR,PR,janiopolis
627,Campo Mourão,PR,PR,campo mourao
628,Curitiba,PR,PR,curitiba
629,Grão Mogol,MG,MG,grao mogol
630,Campo Mourão,PR,PR,campo mourao
631,Porto Figueira,PR,PR,porto figueira
632,Aquidauana,MS,MS,aquidauana
633,Palmas,PR,PR,palmas
634,Flores,GO,GO,flores
635,Flores,GO,GO,flores
636,Umuarama,PR,PR,umuarama
637,Campo Mourão,PR,PR,campo mourao
638,Ubiratã,PR,PR,ubirata
639,Florianópolis,SC,SC,florianopolis
640,Foz do Iguaçu,PR,PR,foz do iguacu
641,Pitanga,PR,PR,pitanga
642,Pitanga,PR,PR,pitanga
643,Moreira Sales,PR,PR,moreira sales
644,Mamborê,PR,PR,mambore
645,Pitanga,PR,PR,pitanga
646,Morretes,PR,PR,morretes
