id,cidade_fb,uf_resolvida
682,Padre Bernardo,GO
683,São Desidério,BA
684,Ibipeba,BA
685,Dois Vizinhos,PR
686,Ventania,PR
687,Campo Mourão,PR
688,Niquelândia,GO
689,Niquelândia,GO
690,Arinos,MG
691,Niquelândia,GO
692,Teresina de Goiás,GO
693,Niquelândia,GO
694,Campos Belos,GO
695,Farol,PR
696,Farol,PR
697,Farol,PR
698,Campo Mourão,PR
699,Campo Mourão,PR
700,Campo Mourão,PR
701,Tunas do Paraná,PR
702,Araruna,PR
703,Arinos,MG
704,Tuneiras do Oeste,PR
705,Caracol,MS
706,Luiziana,PR
707,Campo Mourão,PR
708,Campo Mourão,PR
709,Janiópolis,PR
710,Campo Mourão,PR
711,Foz do Iguaçú,PR
712,Ubiratã,PR
713,Goioerê,PR
714,Luiziana,PR
715,Curitiba,PR
716,Garuva,SC
717,Campo Largo,PR
718,Campo Mourão,PR
719,Romaria,MG
720,Cavalcante,GO
721,Lapa,PR
722,Tanque Novo,BA
723,Alto Paraíso-Cruzeiro,GO
724,Campo Mourão,PR
725,Campo Mourão,PR
726,Guaratuba,PR
727,Bonito,MS
728,Campo Alegre,SC
729,Peabiru,PR
730,Corumbataí do Sul,PR
731,Campo Mourão,PR
732,Oliveira dos Brejinhos,PR
733,Barra do Sul,SC
734,Lapa,PR
735,Engenheiro Beltrão,PR
736,São José dos Pinhais,PR
737,Goioerê,PR
738,Telêmaco Borba,PR
739,Campo Mourão,PR
740,Cocalzinho,GO
741,Corumbataí do Sul,PR
742,Campo Mourão,PR
743,Campo Magro,PR
744,Campina Grande do Sul,PR
745,Laranjeiras do Sul,PR
746,Campo Mourão,PR
747,Campo Largo,PR
748,Campo Magro,PR
749,Campo Magro,PR
750,Campo Magro,PR
751,Campo Magro,PR
752,Campo Mourão,PR
753,Campo Mourão,PR
754,Peabiru,PR
755,Engenheiro Beltrão,PR
756,Campo Mourão,PR
757,Bombinhas,SC
758,Bombinhas,SC
759,Bombinhas,SC
760,Bombinhas,SC
761,Bombinhas,SC
762,Bombinhas,SC
763,União da Vitória,PR
764,Porto União,SC
765,Porto Vitória,PR
766,Porto União,SC
767,União da Vitória,PR
768,Londrina,PR
769,Rancharia,SP
770,Guarapari,ES
771,Londrina,PR
772,Ventania,PR
773,Londrina,PR
774,Ibiporã,PR
775,Marialva,PR
776,São Gonçalo do Rio Abaixo,MG
777,Londrina,PR
778,Ventania,PR
779,Ventania,PR
780,Londrina,PR
781,Guaraqueçaba,PR
782,Londrina,PR
783,Ventania,PR
784,Londrina,PR
785,Tibagi,PR
786,Rancho Alegre,PR
787,Ventania,PR
788,Itararé,SP
789,São Jerônimo da Serra,PR
790,Londrina,PR
791,Londrina,PR
792,Londrina,PR
793,Londrina,PR
794,Londrina,PR
795,Londrina,PR
796,Ibiporã,PR
797,Rolândia,PR
798,São Jerônimo da Serra,PR
799,Arapongas,PR
800,São Jerônimo da Serra,PR
801,Porto Rico,PR
802,Santo Antônio do Paraíso,PR
803,Leópolis,PR
804,Porto Murtinho,MS
805,Porto Murtinho,MS
806,Porto Murtinho,MS
807,Coxim,MS
808,Campo Grande,MS
809,Costa Rica,MS
810,Campo Grande,MS
811,Chapadão do Sul,MS
812,Piraputanga,MS
813,Corumbá,MS
814,Porto Murtinho,MS
815,Porto Murtinho,MS
816,Porto Murtinho,MS
817,Porto Murtinho,MS
818,Porto Murtinho,MS
819,Porto Murtinho,MS
820,Corumbá,MS
821,Maracajú,MS
822,Campo Grande,MS
823,Corumbá,MS
824,Miranda,MS
825,Sonora,MS
826,Campo Grande,MS
827,Sidrolândia,MS
828,Aquidauana,MS
829,Rio Verde,MS
830,Campo Grande,MS
831,Alcinópolis,MS
832,Piraputanga,MS
833,Piraputanga,MS
834,Jardim,MS
835,Piraputanga,MS
836,Piraputanga,MS
837,Piraputanga,MS
838,Porto Murtinho,MS
839,Porto Murtinho,MS
840,Piraputanga,MS
841,Campo Grande,MS
842,Terenos,MS
843,Piraputanga,MS
844,São José dos Pinhais,PR
845,Miranda,MS
846,Campo Grande,MS
847,Chapadão do Sul,MS
848,Rio Negro,MS
849,Chapadão do Sul,MS
850,Campo Grande,MS
851,Campo Grande,MS
852,?,MS
853,Campo Grande,MS
854,Campo Grande,MS
855,Água Clara,MS
856,Jardim,MS
857,Aquidauana,MS
858,Campo Grande,MS
859,Corumbá,MS
860,Porto Murtinho,MS
861,Campo Grande,MS
862,Aquidauana,MS
863,Bonito,MS
864,Miranda,MS
865,Porto Murtinho,MS
866,Piraputanga,MS
867,Nioaque,MS
868,?,MS
869,Nioaque,MS
870,Porto Murtinho,MS
871,Bonito,MS
872,Porto Murtinho,MS
873,Nioaque,MS
874,Corumbá,MS
875,Campo Grande,MS
876,Aquidauana,MS
877,Miranda,MS
878,Campo Grande,MS
879,Corumbá,MS
880,Aquidauana,MS
881,Campo Grande,MS
882,Campo Grande,MS
883,Campo Mourão,PR
884,Campo Mourão,PR
885,Campo Mourão,PR
886,Corumbá,MS
887,Campo Grande,MS
888,Corumbá,MS
889,Ubiratã,PR
890,Ubiratã,PR
891,Nova Aurora,PR
892,Luiziana,PR
893,Ubiratã,PR
894,Campo Mourão,PR
895,Turvo,PR
896,Turvo,PR
897,Campo Mourão,PR
898,Jandaia do Sul,PR
899,Cianorte,PR
900,Nova Tebas,PR
901,Iretama,PR
902,Recursolândia,TO
903,Ponta Grossa,PR
904,Ponta Grossa,PR
905,Ponta Grossa,PR
906,Ponta Grossa,PR
907,Ponta Grossa,PR
908,Corumbá,MS
909,Luiziana,PR
910,Assis Chateaubriand,PR
911,Ponta Grossa,PR
912,Ponta Grossa,PR
913,Ponta Grossa,PR
914,Agudos do Sul,PR
915,Campina Grande do Sul,PR
916,Canela,RS
917,Venda Nova do Imigrante,ES
918,Buenópolis,MG
919,Vargem Bonita,SC
920,Aquidauana,MS
921,Alfredo Chaves,ES
922,Adrianópolis,PR
923,São Joaquim,SC
924,Urubici,SC
925,Garuva,SC
926,Porto Murtinho,MS
927,Bocaiúva do Sul,PR
928,Jaguariaíva,PR
929,Bonito,MS
930,Porto Murtinho,MS
931,Balsa Nova,PR
932,Guaraqueçaba,PR
933,Mandirituba,PR
934,Buritizeiro,MG
935,Doutor Ulysses,PR
936,Palmeira,PR
937,Mallet,PR
938,Bonito,MS
939,Porto Murtinho,MS
940,Campina Grande do Sul,PR
941,Jaguariaíva,PR
942,Jaguariaíva,PR
943,Jaíba,MG
944,Palmeira,PR
945,Antonina,PR
946,Conceição da Barra,BA
947,Guaratuba,PR
948,Palmeira,PR
949,Macaúbas,BA
950,Quatro Barras,PR
951,Lapa,PR
952,Campina Grande do Sul,PR
953,Miranda,MS
954,Alfredo Wagner,SC
955,Boquira,BA
956,Pontal do Paraná,PR
957,Milagres,BA
958,Piên,PR
959,Laguna,SC
960,Porto Murtinho,MS
961,Joaquim Felício,MG
962,Bonito,MS
963,Joaquim Felício,MG
964,Morretes,PR
965,Lages,SC
966,Macaúbas,BA
967,Adrianópolis,PR
968,Jaguariaíva,PR
969,Porteirinha,MG
970,Antonina,PR
971,Morretes,PR
972,Paranaguá,PR
973,Piraquara,PR
974,Buritizeiro,MG
975,Tunas do Paraná,PR
976,Piraquara,PR
977,Tijucas do Sul,PR
978,Mandirituba,PR
979,Adrianópolis,PR
980,Joaquim Felício,MG
981,São Domingos,GO
982,Tijucas do Sul,PR
983,Capitão Leônidas Marques,PR
984,Diamantina,MG
985,Cristalina,GO
986,Carlos Chagas,MG
987,São Mateus do Sul,PR
988,Pontal do Paraná,PR
989,Guarapuava,PR
990,Tunas do Paraná,PR
991,Antonina,PR
992,Guaratuba,PR
993,Curitiba,PR
994,Guaraqueçaba,PR
995,Lapa,PR
996,Itaiópolis,SC
997,Lassance,MG
998,Urubici,SC
999,Patos de Minas,MG
1000,Jaguariaíva,PR
1001,Serranópolis de Minas,MG
1002,Lapa,PR
